score_read,score_math,gender,birth,lunch,ethnicity,class_type,school,degree,experience,t_ethnicity,school_id
445.0,478.0,female,1980 Q2,non-free,cauc,regular,rural,bachelor,1.0,cauc,76.0
413.0,444.0,male,1979 Q3,free,cauc,small,rural,master,6.0,cauc,62.0
425.0,478.0,male,1980 Q2,non-free,cauc,small,rural,bachelor,12.0,cauc,79.0
447.0,547.0,male,1980 Q3,free,afam,small,inner-city,bachelor,11.0,cauc,27.0
460.0,528.0,male,1980 Q1,non-free,cauc,regular+aide,rural,master,12.0,cauc,79.0
424.0,494.0,male,1980 Q1,non-free,cauc,small,rural,bachelor,6.0,cauc,71.0
382.0,384.0,male,1980 Q2,non-free,cauc,regular,rural,master,13.0,cauc,56.0
463.0,559.0,male,1980 Q2,free,cauc,regular,rural,bachelor,19.0,cauc,73.0
451.0,528.0,male,1980 Q1,non-free,cauc,regular+aide,suburban,master,8.0,cauc,61.0
503.0,513.0,female,1980 Q3,non-free,afam,regular,inner-city,bachelor,9.0,afam,28.0
416.0,473.0,female,1979 Q4,free,cauc,regular,rural,bachelor,10.0,cauc,70.0
468.0,473.0,female,1979 Q4,non-free,cauc,regular+aide,rural,master,21.0,cauc,40.0
456.0,478.0,male,1980 Q1,free,afam,regular+aide,inner-city,bachelor,3.0,afam,15.0
461.0,536.0,female,1980 Q3,non-free,cauc,regular+aide,rural,master,7.0,cauc,63.0
437.0,478.0,female,1980 Q3,non-free,cauc,regular+aide,suburban,master,8.0,cauc,61.0
422.0,449.0,female,1980 Q2,non-free,afam,regular,rural,bachelor,11.0,cauc,64.0
503.0,513.0,male,1979 Q4,non-free,cauc,small,rural,bachelor,7.0,cauc,63.0
428.0,489.0,female,1980 Q3,non-free,cauc,regular+aide,rural,bachelor,8.0,cauc,5.0
433.0,449.0,male,1980 Q1,non-free,cauc,small,suburban,master,8.0,cauc,41.0
418.0,429.0,male,1979 Q4,non-free,cauc,regular+aide,rural,bachelor,7.0,cauc,56.0
421.0,454.0,female,1980 Q2,free,cauc,regular+aide,rural,master,21.0,cauc,40.0
408.0,478.0,female,1979 Q1,free,cauc,small,rural,bachelor,3.0,cauc,56.0
448.0,536.0,male,1980 Q1,non-free,cauc,small,rural,bachelor,6.0,cauc,68.0
416.0,459.0,male,1980 Q1,non-free,cauc,regular+aide,suburban,bachelor,7.0,cauc,4.0
445.0,506.0,female,1980 Q2,non-free,cauc,regular,urban,bachelor,0.0,cauc,59.0
436.0,513.0,female,1980 Q1,non-free,cauc,regular+aide,rural,master,11.0,cauc,75.0
390.0,434.0,female,1980 Q3,free,cauc,regular,rural,master,12.0,cauc,8.0
398.0,449.0,female,1980 Q1,free,afam,regular+aide,inner-city,bachelor,2.0,cauc,32.0
431.0,454.0,male,1980 Q2,free,cauc,regular,rural,bachelor,8.0,cauc,5.0
451.0,520.0,female,1980 Q2,non-free,cauc,small,rural,master,11.0,cauc,47.0
397.0,463.0,male,1980 Q1,free,cauc,regular,rural,bachelor,2.0,cauc,57.0
433.0,473.0,male,1980 Q2,free,afam,small,suburban,bachelor,5.0,afam,24.0
411.0,478.0,male,1979 Q4,free,cauc,regular,rural,bachelor,2.0,cauc,76.0
476.0,536.0,male,1980 Q1,free,cauc,regular+aide,rural,bachelor,12.0,cauc,12.0
391.0,418.0,male,1980 Q2,free,cauc,regular+aide,urban,master,12.0,cauc,10.0
439.0,459.0,male,1979 Q4,non-free,afam,regular+aide,rural,other,12.0,cauc,63.0
386.0,412.0,female,1980 Q3,free,afam,regular,inner-city,bachelor,3.0,afam,32.0
424.0,439.0,male,1980 Q1,free,cauc,regular,rural,master,5.0,cauc,47.0
447.0,494.0,female,1980 Q3,free,cauc,small,rural,bachelor,12.0,cauc,79.0
428.0,468.0,female,1980 Q3,free,cauc,small,rural,bachelor,16.0,cauc,72.0
467.0,520.0,male,1980 Q2,free,cauc,small,rural,master,12.0,cauc,80.0
440.0,576.0,female,1980 Q2,free,afam,regular+aide,inner-city,bachelor,20.0,afam,27.0
425.0,454.0,male,1979 Q4,non-free,afam,small,inner-city,bachelor,1.0,cauc,26.0
414.0,429.0,male,1980 Q2,free,afam,regular+aide,inner-city,master,22.0,cauc,33.0
487.0,576.0,female,1979 Q4,non-free,cauc,regular,rural,bachelor,19.0,cauc,73.0
445.0,473.0,male,1979 Q4,non-free,cauc,regular+aide,rural,bachelor,15.0,cauc,47.0
411.0,429.0,female,1980 Q4,free,afam,small,inner-city,bachelor,9.0,cauc,53.0
416.0,489.0,male,1980 Q3,free,afam,regular+aide,inner-city,bachelor,1.0,cauc,19.0
358.0,384.0,male,1979 Q4,free,afam,regular,inner-city,bachelor,3.0,afam,32.0
443.0,494.0,male,1980 Q2,free,afam,regular+aide,inner-city,bachelor,6.0,cauc,16.0
407.0,494.0,female,1980 Q1,free,cauc,regular,rural,master,12.0,cauc,72.0
433.0,506.0,male,1979 Q2,free,cauc,regular,rural,bachelor,4.0,cauc,39.0
467.0,559.0,female,1979 Q4,free,cauc,small,rural,bachelor,4.0,cauc,7.0
397.0,429.0,male,1980 Q2,non-free,cauc,regular,rural,master,8.0,cauc,78.0
397.0,423.0,female,1980 Q1,free,cauc,small,urban,bachelor,11.0,cauc,60.0
428.0,506.0,male,1980 Q2,non-free,cauc,regular+aide,rural,bachelor,15.0,cauc,47.0
393.0,468.0,female,1979 Q4,free,afam,regular+aide,rural,bachelor,12.0,cauc,35.0
398.0,434.0,male,1980 Q3,free,cauc,small,rural,master,5.0,cauc,35.0
430.0,484.0,female,1980 Q3,non-free,cauc,regular+aide,rural,bachelor,9.0,cauc,49.0
391.0,429.0,male,1980 Q3,free,afam,regular,inner-city,master,6.0,cauc,33.0
403.0,473.0,male,1980 Q1,non-free,cauc,regular+aide,suburban,bachelor,7.0,cauc,4.0
395.0,463.0,male,1980 Q3,non-free,cauc,regular,rural,master,8.0,afam,66.0
405.0,423.0,female,1980 Q3,free,cauc,regular,rural,bachelor,13.0,cauc,74.0
451.0,500.0,female,1980 Q1,non-free,cauc,regular,urban,bachelor,0.0,cauc,59.0
407.0,449.0,female,1980 Q2,free,cauc,regular,rural,master,5.0,cauc,47.0
467.0,536.0,male,1979 Q4,non-free,cauc,small,suburban,bachelor,11.0,cauc,61.0
391.0,434.0,male,1980 Q3,free,afam,regular+aide,inner-city,bachelor,0.0,cauc,32.0
451.0,528.0,female,1980 Q1,non-free,cauc,regular,rural,master,12.0,cauc,65.0
434.0,473.0,male,1980 Q1,non-free,cauc,regular,rural,master,10.0,cauc,1.0
433.0,468.0,female,1979 Q4,non-free,cauc,regular+aide,rural,bachelor,10.0,cauc,68.0
424.0,468.0,male,1980 Q1,free,afam,regular+aide,inner-city,master,17.0,cauc,16.0
431.0,478.0,female,1980 Q1,free,afam,small,inner-city,master,12.0,cauc,15.0
422.0,434.0,female,1980 Q3,non-free,cauc,regular,rural,master,8.0,afam,66.0
456.0,576.0,male,1979 Q4,non-free,cauc,regular+aide,urban,master,12.0,cauc,10.0
424.0,454.0,female,1980 Q3,non-free,cauc,regular+aide,urban,master,8.0,cauc,59.0
414.0,439.0,female,1980 Q2,free,afam,small,urban,bachelor,1.0,cauc,60.0
410.0,463.0,male,1979 Q4,non-free,cauc,regular+aide,rural,bachelor,11.0,cauc,6.0
436.0,513.0,female,1980 Q1,non-free,cauc,regular+aide,suburban,master,15.0,afam,21.0
410.0,494.0,male,1980 Q2,non-free,afam,regular+aide,urban,bachelor,17.0,cauc,2.0
456.0,513.0,male,1980 Q2,free,cauc,regular+aide,rural,master,21.0,cauc,40.0
430.0,473.0,male,1980 Q3,free,cauc,small,suburban,bachelor,16.0,afam,51.0
430.0,484.0,male,1980 Q4,free,afam,regular+aide,inner-city,bachelor,11.0,cauc,45.0
397.0,412.0,female,1980 Q3,non-free,cauc,small,rural,bachelor,3.0,cauc,56.0
384.0,444.0,male,1979 Q3,free,cauc,regular+aide,rural,bachelor,12.0,cauc,35.0
456.0,484.0,female,1980 Q1,non-free,cauc,regular,rural,master,13.0,cauc,8.0
411.0,454.0,male,1980 Q1,free,afam,regular+aide,inner-city,bachelor,2.0,cauc,32.0
442.0,439.0,female,1980 Q3,non-free,afam,regular,inner-city,bachelor,0.0,afam,27.0
422.0,459.0,male,1979 Q1,free,cauc,small,rural,bachelor,12.0,cauc,34.0
416.0,468.0,male,1980 Q1,non-free,cauc,regular,rural,bachelor,2.0,cauc,57.0
400.0,423.0,male,1980 Q3,non-free,cauc,small,inner-city,bachelor,9.0,cauc,53.0
425.0,513.0,female,1980 Q1,free,cauc,regular+aide,rural,master,13.0,cauc,76.0
465.0,559.0,male,1979 Q3,non-free,cauc,regular,suburban,other,13.0,cauc,51.0
463.0,528.0,male,1980 Q2,free,cauc,regular,rural,master,12.0,cauc,72.0
393.0,412.0,female,1980 Q3,free,cauc,small,rural,bachelor,9.0,cauc,3.0
437.0,459.0,female,1979 Q4,free,afam,regular+aide,inner-city,master,5.0,cauc,33.0
422.0,449.0,female,1980 Q3,free,cauc,regular+aide,suburban,bachelor,2.0,cauc,25.0
460.0,528.0,male,1980 Q2,free,afam,regular+aide,inner-city,bachelor,16.0,afam,22.0
419.0,459.0,male,1980 Q3,non-free,cauc,regular,suburban,bachelor,18.0,afam,25.0
472.0,536.0,female,1979 Q4,free,cauc,regular+aide,rural,other,12.0,cauc,63.0
424.0,520.0,female,1980 Q2,free,afam,regular+aide,inner-city,bachelor,1.0,cauc,19.0
421.0,449.0,female,1980 Q1,non-free,cauc,regular+aide,suburban,bachelor,17.0,cauc,43.0
419.0,434.0,male,1980 Q2,free,afam,small,inner-city,bachelor,1.0,cauc,33.0
503.0,559.0,male,1979 Q4,non-free,cauc,regular,rural,bachelor,10.0,cauc,63.0
414.0,434.0,female,1980 Q1,free,afam,small,inner-city,bachelor,1.0,afam,16.0
411.0,468.0,male,1979 Q2,free,cauc,regular+aide,rural,master,5.0,cauc,39.0
476.0,576.0,male,1980 Q3,non-free,cauc,regular+aide,rural,bachelor,6.0,cauc,13.0
440.0,489.0,male,1980 Q3,free,afam,small,inner-city,bachelor,3.0,afam,28.0
380.0,434.0,female,1980 Q2,non-free,cauc,regular,rural,bachelor,3.0,afam,56.0
427.0,412.0,female,1980 Q2,free,afam,regular+aide,inner-city,bachelor,20.0,afam,27.0
428.0,500.0,female,1980 Q3,non-free,cauc,regular,rural,bachelor,6.0,cauc,71.0
427.0,473.0,female,1980 Q2,free,afam,regular+aide,inner-city,bachelor,1.0,afam,14.0
430.0,473.0,male,1980 Q1,non-free,cauc,regular,rural,master,13.0,cauc,38.0
436.0,484.0,female,1980 Q2,non-free,afam,small,suburban,bachelor,10.0,afam,51.0
397.0,418.0,female,1980 Q3,non-free,cauc,regular,rural,master,13.0,cauc,56.0
434.0,513.0,female,1980 Q2,non-free,cauc,regular+aide,rural,master,13.0,cauc,80.0
437.0,506.0,male,1980 Q1,free,afam,regular+aide,inner-city,bachelor,16.0,afam,22.0
402.0,454.0,male,1980 Q2,free,cauc,regular,rural,master,13.0,cauc,75.0
463.0,520.0,female,1980 Q2,non-free,cauc,regular,suburban,master,22.0,cauc,61.0
472.0,559.0,female,1980 Q1,non-free,cauc,regular+aide,rural,master,9.0,cauc,65.0
434.0,520.0,male,1980 Q2,free,cauc,regular+aide,urban,bachelor,11.0,cauc,37.0
414.0,434.0,female,1980 Q1,free,afam,small,rural,bachelor,8.0,cauc,5.0
440.0,536.0,male,1979 Q4,free,afam,regular+aide,inner-city,bachelor,1.0,cauc,19.0
431.0,444.0,female,1980 Q3,non-free,cauc,regular+aide,rural,master,9.0,cauc,3.0
411.0,468.0,female,1980 Q3,free,afam,regular,inner-city,bachelor,2.0,cauc,32.0
507.0,500.0,male,1979 Q3,non-free,cauc,regular+aide,rural,master,8.0,cauc,74.0
470.0,500.0,female,1980 Q2,non-free,cauc,regular+aide,urban,bachelor,14.0,cauc,9.0
439.0,536.0,female,1980 Q2,non-free,cauc,regular,rural,master,12.0,cauc,8.0
445.0,444.0,female,1980 Q1,non-free,cauc,regular,rural,master,13.0,cauc,75.0
460.0,528.0,female,1979 Q4,non-free,cauc,regular,urban,bachelor,8.0,cauc,9.0
405.0,434.0,female,1980 Q1,free,afam,regular,inner-city,bachelor,12.0,cauc,45.0
421.0,478.0,male,1980 Q3,free,afam,regular+aide,suburban,bachelor,2.0,cauc,25.0
430.0,463.0,female,1980 Q3,free,afam,small,inner-city,bachelor,11.0,cauc,27.0
456.0,576.0,female,1980 Q1,free,cauc,regular+aide,rural,master,20.0,cauc,3.0
445.0,500.0,female,1980 Q2,free,afam,regular+aide,inner-city,bachelor,1.0,cauc,19.0
424.0,434.0,male,1980 Q2,free,cauc,small,rural,master,12.0,cauc,6.0
403.0,434.0,male,1979 Q4,free,afam,regular+aide,suburban,bachelor,8.0,afam,17.0
398.0,392.0,male,1980 Q3,free,cauc,regular+aide,rural,master,10.0,cauc,72.0
422.0,463.0,female,1980 Q3,non-free,cauc,regular+aide,urban,master,12.0,cauc,10.0
430.0,439.0,female,1980 Q1,non-free,afam,regular+aide,suburban,bachelor,12.0,afam,20.0
450.0,520.0,female,1980 Q2,non-free,cauc,regular+aide,rural,bachelor,9.0,cauc,49.0
418.0,434.0,female,1979 Q4,free,cauc,regular+aide,rural,master,8.0,cauc,38.0
468.0,547.0,female,1980 Q3,non-free,afam,small,suburban,master,15.0,cauc,51.0
421.0,478.0,male,1980 Q2,free,afam,regular+aide,inner-city,master,22.0,cauc,33.0
434.0,412.0,male,1980 Q3,free,afam,regular,inner-city,bachelor,6.0,afam,19.0
410.0,444.0,female,1980 Q2,non-free,cauc,regular,rural,master,8.0,cauc,78.0
442.0,444.0,male,1980 Q1,non-free,cauc,regular+aide,rural,master,8.0,cauc,57.0
443.0,489.0,female,1979 Q4,non-free,afam,small,suburban,master,20.0,cauc,17.0
442.0,520.0,male,1981 Q3,non-free,cauc,regular+aide,suburban,bachelor,8.0,afam,17.0
422.0,513.0,female,1980 Q2,non-free,cauc,small,suburban,bachelor,0.0,cauc,4.0
425.0,473.0,male,1980 Q1,free,cauc,regular,urban,other,13.0,cauc,60.0
395.0,412.0,female,1980 Q2,free,cauc,regular,rural,bachelor,4.0,cauc,35.0
497.0,547.0,female,1980 Q1,free,afam,regular+aide,inner-city,bachelor,11.0,cauc,31.0
398.0,454.0,male,1980 Q3,non-free,cauc,small,rural,master,9.0,cauc,12.0
405.0,429.0,male,1980 Q3,free,cauc,small,rural,bachelor,3.0,cauc,56.0
408.0,444.0,male,1980 Q3,free,cauc,small,rural,bachelor,5.0,cauc,79.0
400.0,405.0,male,1979 Q3,free,cauc,small,rural,master,6.0,cauc,39.0
419.0,489.0,male,1979 Q3,non-free,cauc,regular,rural,master,11.0,cauc,75.0
418.0,459.0,male,1979 Q4,non-free,cauc,small,rural,master,8.0,cauc,57.0
440.0,484.0,male,1980 Q1,non-free,cauc,small,suburban,bachelor,0.0,cauc,43.0
422.0,494.0,male,1980 Q3,non-free,cauc,small,rural,bachelor,12.0,cauc,79.0
490.0,528.0,male,1979 Q4,non-free,cauc,small,rural,bachelor,6.0,cauc,68.0
495.0,559.0,male,1979 Q4,non-free,cauc,regular+aide,rural,master,10.0,cauc,72.0
418.0,473.0,male,1979 Q3,free,afam,regular+aide,inner-city,master,22.0,cauc,33.0
472.0,536.0,female,1979 Q4,free,cauc,regular+aide,rural,master,7.0,cauc,63.0
434.0,459.0,female,1979 Q4,free,cauc,regular+aide,rural,master,12.0,cauc,50.0
490.0,506.0,male,1980 Q3,non-free,cauc,regular+aide,rural,master,13.0,cauc,55.0
433.0,547.0,male,1979 Q1,non-free,cauc,regular+aide,rural,master,7.0,cauc,63.0
425.0,444.0,male,1980 Q1,free,afam,small,inner-city,bachelor,1.0,cauc,26.0
455.0,478.0,male,1979 Q4,non-free,cauc,regular+aide,rural,bachelor,9.0,cauc,1.0
431.0,513.0,male,1980 Q2,free,afam,small,inner-city,bachelor,1.0,cauc,27.0
408.0,473.0,female,1979 Q4,free,cauc,regular,rural,bachelor,2.0,cauc,76.0
472.0,489.0,female,1979 Q4,non-free,cauc,regular,rural,bachelor,20.0,cauc,64.0
434.0,459.0,male,1980 Q3,free,afam,regular+aide,suburban,bachelor,1.0,afam,20.0
400.0,449.0,male,1980 Q3,free,cauc,regular,rural,bachelor,1.0,cauc,76.0
443.0,520.0,female,1979 Q4,non-free,cauc,regular+aide,suburban,bachelor,5.0,afam,51.0
453.0,449.0,female,1979 Q4,non-free,cauc,small,rural,bachelor,19.0,cauc,64.0
474.0,506.0,male,1980 Q3,free,afam,small,suburban,bachelor,3.0,cauc,44.0
413.0,434.0,female,1979 Q4,free,cauc,regular+aide,suburban,bachelor,0.0,cauc,44.0
408.0,439.0,female,1980 Q1,non-free,cauc,regular+aide,rural,master,3.0,cauc,78.0
470.0,489.0,female,1980 Q3,free,afam,regular+aide,inner-city,bachelor,20.0,afam,27.0
421.0,439.0,male,1979 Q4,non-free,cauc,small,suburban,master,17.0,cauc,36.0
405.0,429.0,female,1980 Q2,free,afam,regular,inner-city,other,8.0,cauc,16.0
419.0,429.0,female,1980 Q3,free,afam,regular+aide,urban,master,12.0,cauc,10.0
407.0,449.0,female,1980 Q2,non-free,cauc,regular,rural,bachelor,2.0,cauc,57.0
490.0,547.0,female,1980 Q3,non-free,cauc,small,suburban,bachelor,16.0,afam,51.0
467.0,559.0,female,1979 Q4,non-free,cauc,small,rural,bachelor,22.0,cauc,76.0
424.0,473.0,male,1979 Q4,non-free,cauc,regular+aide,suburban,bachelor,5.0,afam,51.0
427.0,459.0,male,1979 Q4,non-free,cauc,small,rural,bachelor,10.0,cauc,66.0
413.0,454.0,male,1980 Q1,non-free,afam,regular+aide,suburban,bachelor,12.0,afam,20.0
410.0,454.0,male,1980 Q3,non-free,afam,regular+aide,inner-city,bachelor,9.0,cauc,53.0
419.0,506.0,male,1980 Q1,non-free,cauc,regular+aide,rural,bachelor,8.0,cauc,5.0
436.0,520.0,male,1980 Q2,non-free,cauc,regular+aide,rural,master,12.0,cauc,8.0
458.0,559.0,male,1980 Q2,free,afam,small,inner-city,bachelor,2.0,cauc,30.0
384.0,384.0,male,1979 Q4,non-free,cauc,regular,suburban,bachelor,14.0,cauc,42.0
414.0,449.0,male,1979 Q2,free,cauc,regular,rural,bachelor,6.0,cauc,71.0
402.0,473.0,male,1980 Q3,non-free,afam,regular,inner-city,bachelor,10.0,afam,30.0
456.0,494.0,female,1980 Q3,non-free,cauc,regular,rural,master,12.0,cauc,65.0
410.0,429.0,female,1979 Q4,free,cauc,regular,rural,master,13.0,cauc,50.0
434.0,500.0,male,1979 Q4,non-free,cauc,regular,rural,bachelor,19.0,cauc,73.0
421.0,449.0,male,1980 Q2,non-free,cauc,regular+aide,rural,master,12.0,cauc,79.0
416.0,478.0,male,1980 Q2,non-free,cauc,regular,rural,bachelor,2.0,cauc,57.0
450.0,494.0,female,1980 Q1,non-free,cauc,regular,suburban,bachelor,15.0,cauc,36.0
474.0,494.0,female,1979 Q4,free,cauc,regular,rural,bachelor,13.0,cauc,74.0
419.0,463.0,male,1979 Q4,non-free,cauc,regular,urban,master,6.0,cauc,2.0
413.0,468.0,male,1980 Q1,free,cauc,regular,rural,master,13.0,cauc,75.0
411.0,468.0,female,1980 Q3,non-free,cauc,small,rural,bachelor,20.0,cauc,71.0
500.0,500.0,male,1980 Q2,non-free,cauc,regular,rural,bachelor,10.0,cauc,68.0
410.0,439.0,male,1980 Q2,free,afam,small,inner-city,master,13.0,afam,14.0
456.0,547.0,male,1980 Q1,non-free,cauc,small,rural,other,14.0,cauc,1.0
455.0,489.0,male,1979 Q4,free,cauc,regular+aide,rural,master,8.0,cauc,38.0
431.0,520.0,female,1980 Q3,free,afam,small,inner-city,bachelor,1.0,cauc,27.0
425.0,494.0,male,1980 Q2,free,cauc,regular+aide,urban,other,9.0,Unknown,48.0
395.0,412.0,female,1980 Q3,free,other,regular,rural,master,13.0,cauc,56.0
421.0,449.0,male,1980 Q3,free,afam,regular,inner-city,bachelor,0.0,afam,27.0
422.0,513.0,female,1979 Q4,free,afam,regular,suburban,bachelor,1.0,cauc,23.0
472.0,494.0,female,1980 Q1,non-free,cauc,regular,rural,master,11.0,cauc,11.0
443.0,473.0,male,1980 Q3,non-free,cauc,small,suburban,bachelor,0.0,cauc,42.0
480.0,494.0,male,1980 Q1,free,afam,regular,rural,master,16.0,cauc,68.0
455.0,494.0,male,1980 Q3,non-free,cauc,regular,rural,bachelor,11.0,cauc,64.0
